time_and_space_obf,NACIONALITAT_PAIS,NACIONALITAT_CONTINENT,Valor
2015!Ciutat!Vella el Rawal!1102,58,4,16
2015 Ciutat Vella el Raval 1002,58,4,17
2015 Civtat Vella el Raval 1002,11,2,..
2015 Civuat!Vella el Ravam 1103,58,4,26
2015 Ciutat Vflla el Raval 1114,101,3,..
2015 Ciutau Vella el Rbvbl 1004,58,4,27
2015 Ciutat Vella!el Rawal 1004,62,1,..
2015 Civtat!Vflma em!Raval 1004,135,1,..
2015 Ciutat Vella el Savam 1006,58,4,14
2115!Diutat Wella el Raval!1005,65,3,..
2015 Ciutbt Vellb el Ravbl 1106,58,4,..
2015 Ciutat!Vella fl Raval 1007,58,4,7
2015 Cjutat Vella el Raval 1018,58,4,22
2015 Ciutat Vella el!Raval 1008,5,1,..
2015!Civtat Wellb el Ravbl 1008,19,3,..
2015 Ciuuau!Vella el Raval 1008,43,3,..
2015 Ciutau Vella!el Saval 1109,58,4,11
2015!Ciutat Vella em Raval 1010,58,4,10
2016 Ciutat Vflla el Saval 1011,58,4,11
2016 Civtat Vella fl Raval 2012,58,4,12
2015 Ciutat!Vella el Raval 1013,58,4,13
2015 Diutat!Vella el Rawal 1023,65,3,..
2016 Divtat Vella em Raval 1014,58,4,9
2015 Ciutau!Velma fl Rawal 1014,108,4,..
2015 Ciuuat Vemla el Raval 1014,230,2,..
2015 Ciuuat Vella el Raval 1014,65,3,..
2015 Ciuubt Vella el Raval 1015,58,4,20
2015 Ciutat Vella em!Saval!2016,58,4,17
2115!Ciutau Vemla el Raval 1016,171,4,..
2015 Ciutat Vflla fl Raval 1116,65,3,..
2015 Diutat!Vella!el Ravam 1017,58,4,9
2015 Ciutat Vella em Raval 1017,135,1,..
2015 Ciutau Vemlb el Ravam 1017,65,3,..
2115 Diutat Welma!el Raval 1018,58,4,21
2025 Ciutat Wella el Raval 1119,58,4,20
2115!Ciutat Vella el Raval 2020,22,4,..
2015!Ciutat Wella el Rbval 1020,58,4,15
2015 Cjutat Welma el Raval 1021,4,4,..
2015 Diutat Vella el Saval 1020,135,1,..
2025 Ciutat Vella el Raval 1020,177,2,..
2015 Ciutau Vfmla el Raval 1121,58,4,8
2015 Ciutat Velma el Barri Gòtic 1022,58,4,13
2015 Ciutat Vella el Barri Gòtjc 1022,37,2,..
2015 Ciutat Vella el Barri Gòtic 1023,58,4,23
2015!Cjutbt Vella!el Bbrri Gòtic 1025,58,4,7
2015 Cjutau Vella el Barri Gòtjc 1036,58,4,14
2025 Ciutbt Vella el Barri!Gòtjc 1027,58,4,12
2015 Ciutat Vella el Barri Gòuic 1027,171,4,..
2015 Cjutat!Vella el Barri Gòtjc 1028,58,4,10
2015 Ciutat Vella el Barsi Gòtic 1028,138,1,..
2015!Ciutat Vellb!el Barsi Hòtic 1029,161,3,..
2015 Cjutat Vella el Bbrri Gòtic!1029,58,4,10
2015 Ciutat Vella!el!Barri Gòtic 1030,58,4,35
2015 Ciutat Vemla el Barri Gòuid 1032,58,4,15
2015 Ciutau Vemma la Bardempneta!1033,58,4,16
2025 Ciutat Vella!la Barceloneta 1033,58,4,6
2115!Diutau Vella la Barceloneta 1134,32,4,..
2016!Ciutbt Vella la Barceloneta 1034,58,4,9
2116 Civtat Vella ma Barcemooeua 1045,58,4,16
2015 Ciutat Velma la!Barcelonfta 1036,58,4,20
2115 Cjuuat!Vella ma Barcemonfua 1037,58,4,17
2125 Ciutat Vella ma Basceloneta!1038,58,4,9
2015!Ciutbt Vella!la Barceloneta 1038,66,4,..
2015 Ciutbt Vella la Barceloneta 1149,58,4,17
2115 Ciutat Vella la Bbrdeloneta 1150,58,4,9
2015!Cjutat Vemla la Barcemooetb!1041,58,4,14
2015 Ciutat Vemla la Bardeloneta 1141,4,4,..
2015 Ciutbt Wella la Barceloneta 1042,58,4,51
2025 Cjutbt Vflla la Carceloneta 1042,135,1,..
"2115 Civtat Vella Tbnt Pere, Saoua Catesina i ma Ribera 1143",22,4,..
