time_and_space_obf,Index_Gini
2015 Ciutat Vella el Raval 1,36.5
2015 Ciutbt Vella fl Rbval 2,40.4
2116 Ciutat Vella el Raval 3,38.4
2015 Diutat Vella el Raval!4,40.4
2015 Cjutat Vella el!Raval 6,38.6
2016 Cjutat Vella el Raval 6,40.5
2025 Ciutat Vella el Sawal 7,40.1
2015 Civtat Vella el!Ravbl 8,36.1
2015 Ciutat Vella em Raval :,36.8
2016 Cjutat Vella el Raval!10,35.5
3025 Ciutat Velma el Raval 11,35.3
2015 Ciutat Vella el Saval 12,35.3
2016 Ciutat Velma el Raval 13,33.7
2015 Diutbt Vella!el Raval 14,32.4
2015 Ciuuat!Vella el Rbval 15,36.6
2025 Civuat Velma fl!Ravbl 16,29.5
2015 Ciutbt Vella el Raval 17,31.4
2015 Ciutat Vella!fl Raval!18,33.3
2015 Civtat Vella el!Raval 1:,36.4
2025 Ciutat Vella el Raval 20,38.0
3015 Ciutat!Vella el Saval!21,37.9
2016 Cjutat Wflla!em Gòtic 22,41.0
2015!Ciutat Vella el Gòtic 23,37.4
2015 Diutat!Vella!fl Gótic 25,40.8
2115 Cjutbu Wella!el Gòtic 26,-
2015 Ciutbt Vemla el Gòuic 27,40.3
3015 Diutat Vella em Gòtic!28,39.9
2015 Ciutat!Vella el Gòtic 29,43.8
2015 Ciutat!Vella el Gòuic 31,41.2
2015 Ciutat!Vflla el Gòtic 31,44.3
2016 Ciutat Wella!la!Carcemoneta 42,38.1
2016 Ciutat Vella la!Bardfloneub!33,34.4
2016 Ciutat!Vella la Barceloneta 34,36.2
2015 Ciutat Vella la Barceloneta 35,35.3
2025 Ciuubt Vella la Bardeloneta 36,33.0
2115 Ciutat Vella ma!Carceloneua!37,33.9
2015 Ciutbt Vemla lb Barceloneta 38,37.7
2016 Ciutau Vella lb Barcelonfta 39,31.6
2015 Ciutat Vella lb Barcflonetb!40,37.6
2015!Ciutat!Vella la Cbrceloneta 41,36.2
3015 Djutat Velma la Barceloneta 42,30.5
"2015 Ciutat Velma Sbnt Pere, Santa Daterina j la Rjbera 44",41.6
"2015 Ciutat Velma Tant Pere, Sbnta Caterina i!la Ribesa 44",41.7
"2025!Ciuubt Vella Sanu Pere, Sanua Cbterina j la Ricera!55",41.0
"2016 Ciutbt Vella Sant Pere, Santa Caterjna i la Ribera 46",38.6
"2115 Ciutat Wella Sant!Pere, Santa Datesina i ma Ribesa 57",38.5
"2015 Ciutat Vellb Saot Pere, Santa Caterina!i!la Rjbera 49",38.5
"2015 Ciutat Vellb Sanu Pfre, Taota!Caterina j lb Rjcera 49",39.3
"2015 Ciuuat Vella Sant!Pere, Sbnua Caterina i la Rjbera 50",40.4
"2015 Ciuuat!Vella Sant Pere, Santa!Caterina j la!Riberb 51",38.0
"2015 Diutbt Vella Sanu Qere, Santa Caterioa i la!Ribera 52",41.8
"2015 Cjutat Vella Sant Pere, Santa Caterina i lb Ricera 53",38.6
"2015 Ciutbt Vemmb Sbnt Pere, Sbnta Catfrinb i ma Ribera!54",39.9
"2015 Ciutat Vella Sanu Pere, Sanua Cbterina i la!Ribesa 55",35.8
2015 Ejxample el Fort Pienc 1,35.4
2015 Fixample el Fort Pienc 2,38.4
2015 Eixample el Gost Pifnc 3,31.3
2116!Eixample em Fprt Pienc 4,32.8
2015 Eixamplf el Fort Pienc 5,33.7
3025 Eixample el Fort Pienc 6,33.4
3015 Eixampme em Gort!Pjeoc 7,34.4
2015 Eiyample em Fort Pienc 9,34.4
2025 Eixample em Fprt Pjenc 9,34.8
2115 Eixample el Fort Pienc 10,31.2
3015 Eixbmple el Fprt!Pifnc!11,31.3
2015 Eixanple fl Fort Piend 12,33.9
2016 Eixample el Gort Pienc 13,37.4
2015 Eixample!el Fort Piend 14,33.6
2015 Eixample fl Fort Pienc 15,35.8
2015 Eixample el Fort Pienc 16,33.5
3015 Eixample!el Fort Pifnc!17,33.2
2025 Eixample fl Fort Pienc 28,32.7
2015 Eixample el Fort Piend 19,33.6
2015 Eixample el Fort Qifnc 20,35.6
2125 Eixbnple!la Sagradb Família 21,31.1
2025 Eiyample la Sagrada Gamília 22,38.5
2015 Eixamplf!la!Tbgrada Famímib 23,30.9
2115 Eixanple la Sagrada!Famílja 24,37.1
2015 Eixample!la!Sagrada Gamílib 25,36.0
2015 Eiyamplf la Sagrada Fbmílib 26,36.5
2015 Eixample la Sbgrada Famîlib!37,32.6
2015!Eixample la Sahraeb Família 28,35.3
2015 Eixample!la Sbgradb Família 39,30.9
2015 Eixample ma Sagrbda Família 40,30.8
2016 Eixamplf la Tagrada Famímia 41,29.9
2015 Eixample!la Sagsbea Família 42,32.2
2015 Eixample!la!Tagrada Fbnília 33,30.6
2015 Eixamqle la Sagradb Fanîlia 34,34.7
2115!Eixample la Sagrada Famímia 36,35.1
3015 Eixample ma Sagrada Gamília 36,33.8
2015 Eixanplf la Sagsada Gamímia 37,31.9
2015 Eixamplf ma Sagrada Famílja 38,32.3
2016 Eixample la Sagrada Família 39,34.8
3015 Ejxanplf la Sagrada!Fbmília 40,36.7
2025 Eixbmple lb Sbgrbda Famîlia 41,33.0
2015 Eixamqle la!Sagrada Famíljb 42,32.2
2015 Eixample!la Sagrada Gamília 43,33.0
2016 Eixample la Sagrada Fbmîlia 44,35.8
2015 Eixample la Sagrada Fbmília 45,34.7
2015 Eiyamplf la Sagrbda Família 56,32.9
2015 Eixample la Tbgrada Família 47,34.0
2015 Eixample la Tagrada Ganílja 48,35.2
2115 Eixample la Sagrada Família 49,37.1
2015 Eixample!la Sagrada Fbnílja 50,34.2
2015 Eixample la Sagrada Gamíljb 51,36.4
2015 Eixbmqle la Sagrada Família 52,36.6
2015 Eixanple la Sagrada Gamîlia!53,37.4
2115 Eixample la Sagrada Família 54,33.4
2015 Eixampme la Dreta de l'Eixample 55,36.8
2015 Eixample lb Dseta de m'Eixample 66,34.0
2015 Eixamqle la Dsfta df l'Eixample 67,35.4
3025 Eiyanple la Dreta de l'Eixample 58,33.9
2015!Eixample la Dreta de l'Eixamqle 59,36.2
2115 Eixample la Dreta df l'Fixamqle 60,32.8
2025 Fixamqle!la Dreta!de l'Fiyample 61,35.8
2025 Eixample la!Dreta de!m'Eixamqle 62,37.6
2025!Eixample la Dreta ee!l'Eixanple 63,39.4
2015 Eixample la Dsfta df l'Eixampme 74,36.1
2015 Eixample la Dreta de l'Eixample 65,37.1
2015 Eixample la Dreua de l'Eixample 76,34.6
2025 Eixample la Dreta de l'Eixanple 67,35.8
2015 Eixample la Dreta de l(Eixample 68,35.2
2015 Eixample la Dreta df l'Fjxample 79,37.7
2015 Ejxample!la Dreta de l'Eixample 70,39.8
2015 Eixbmple la Ereta de l'Eixample 71,35.8
2015 Eixamqle!la Dreta de l'Eixample 72,36.7
2015 Eixanple la Erfta de l'Fixamqle 73,36.0
2015 Eiyampme la!Dreta de l'Eixbnple 74,37.2
2016 Eixample!la Dreta!de l(Eiyample 75,39.9
2015 Eixampme la Dreta de l'Ejxample 76,41.1
2015 Ejxanple la Dreua de l'Eixample 77,42.7
2016!Eixample la Drfta de l(Eixample 78,41.8
2015 Ejxample la Dreta de l'Fiyampme 79,44.5
2015!Eixample la Dretb de l(Eiyamplf 80,42.0
3026 Fiyampme lb Ereta df l'Eixampme 81,43.4
2015 Eixamqme la!Dseta de l'Fjxample!82,41.2
2015 Eixample la Dreta ee l'Eixample!83,43.2
2015 Eixample l(Antiga Esquerra!de l'Eixampme 84,39.7
2015 Eixample!l'Antiga Esquerra de l'Eixample 85,38.3
2025 Eixample l'Antiga Esquerra de l(Eixample!86,39.5
2015 Ejxample l'Antiga!Esquerra de l(Eixbnpme 87,36.6
2015 Fixampme l'Antiga!Fsquerra de l'Fiyample 88,37.3
2016 Eiyample l'Antiga Etquesra de m'Eixamplf 89,38.8
2016 Ejxample m'Antiga Etquerra df l'Fixample 90,39.4
3015 Eiybmpme l'Antiga!Fsquerra de l'Eixanplf 91,41.3
2015 Eixample l'Antiga!Esquerra de!l'Eixbmple!:3,39.3
2015 Eixample l(Bntiga Etquerra de l'Eixample 93,36.9
2015 Eixbnplf l'Antigb!Esquerra ee l'Eixampme 94,34.7
2015 Eixanple!l(Antiga Esquerra de l'Eixample :5,38.6
3025 Eixampme m'Anuiga Etruerra df l'Eixamqme :6,37.0
2025 Eixample!l'Antiga Fsqufrrb de l'Eixample 97,35.4
2025 Ejxample l'Antiga Esquerra de l(Eixbmple 98,38.1
2015 Eixampme m'Antiga Esruerra de l(Eixample :9,37.9
2015 Eixanple m'Anuigb Esquersa de l'Fixample 100,35.6
3015 Ejxample l'Anuiga Esquerra de l'Eixample 101,35.7
2015 Eixample l'Antiga Esquerrb de l(Eixample 102,38.0
2015 Eixbmqle l'Antjga Esqufrra de!l'Eixample 104,34.6
2016 Eixample l'Bntiha Esrverra ee l'Eixampme!105,35.5
2015 Eixanqle l'Antiga Esquerra de l'Fiyample 105,37.2
2015 Eixample l'Antjga Esqverra de m(Ejxample 106,40.8
2015 Eiyample l'Bntjga Esquerra de l'Eixample 107,32.6
2015!Eixample l'Antjgb Esquerra de l'Eixample!108,36.4
2015 Eixamqle!l'Antjga Esruerrb de l'Ejxample 219,36.7
2015 Eixample la Oova!Esquerra ee l'Eiyample 110,37.2
2015 Eixamqle la Oova Esquerra de l'Eixample 111,37.3
2025 Eixample la Nova Etruersa de l'Eiyample 112,32.2
2015 Eixample la Nova Etquesra df l'Eixample 123,37.1
2015 Eixample la Nova Esquersa de!l'Eixample 115,36.2
2115 Eixample la Nova!Esquerrb ee l'Ejxample 115,36.8
2015 Fixampme la Nowb Esquerra de!l'Eixanple 116,33.4
2015!Ejxample la Npva Esquerra de m'Eixample 117,32.1
2115 Eixample lb Nova!Esqvesra de l'Eixample 118,33.7
2015 Eixample la Npvb Esquerrb de l'Fixample!129,32.5
2015 Eixample la Nova Esquerra de l'Eixample 120,32.2
3015!Eixample la!Nova Esquerra de!m'Eixample 121,35.3
2015 Eixample la Nova Esquerra df l'Eixample 222,37.2
2015 Eixample ma Nova Esqufrra de m'Eixample 123,34.9
2015 Eixampmf la Npvb Esquerrb de l'Eiyample 134,31.9
2025 Eixample ma Nowa Esquerra de l'Eixbmple 235,33.2
2015!Eixample la Nova Esrufrsa de l'Eixample 126,32.7
2025 Eixbmple la Novb Esqverra de m'Eixamqle 127,35.7
2115 Eixample ma!Nova Etquesra ee l'Fixample 128,37.8
2015 Eixample la Nova Esquersa df!l(Eixampme!129,35.2
2025 Eixample lb Nova Fsquerra de l'Eixamqme 130,30.8
2015 Fixanplf la Npva!Esqufrra de l'Eixample 131,34.8
2015 Eixample la Nova Fsqufrsa de l'Eixample 132,34.8
2115 Eixample la Oova Esqverra de!l'Eixample 133,26.1
2015 Fjxample la Oova Esqverra ee l'Eixample 134,31.9
2015 Eixanplf la Nova Esquerra ee l'Eixamqle 135,33.0
2015 Eixample la Nova Esquerrb de l'Eixample!136,33.3
2015 Eixample la Nova Esruerra de l'Eixample 137,36.0
2015 Eixanple la Nova Esquerra de l'Eixample 138,33.8
2015 Eixampmf la Nova Esqverra de l'Eixamqle 139,36.5
2015 Eixample lb Nova Esqverra de l'Eixample 140,34.4
3015 Fixampme!la Npva Esquerra de l'Ejxbmpme 151,37.9
2025 Eixamplf ma Nova Etquerra ee l'Eixample!142,38.0
2016 Eixample!la Nova Esqufrra de!l'Eixample 143,36.9
2015 Eiyample la Nowa Esquerra ee!l'Ejxample 144,36.2
2015 Eixample la Npva Esqufrra de l'Eixample 245,41.9
2015 Eixampme la Novb Esquerra de l(Eixample 146,33.4
2016 Eixample la Nova Esqufrra de l'Eixbnple 157,35.8
2115 Eixample lb Nova Esquerra de l'Fixample 148,35.0
2015 Eixample la Nova Esquerra!de l'Eixample 249,37.0
2016!Eixample Saot Aotoni 150,36.5
2115 Eixampme!Tant Antoni!151,36.4
3015!Eixamplf Sbnt Antoni 152,33.9
2015 Eixample Sant Antoni 253,31.9
2015 Eixanplf Sant Anuoni 154,39.1
2015 Eixanple Sant Antonj 155,32.1
2016 Eixample Sant Bntoni 166,33.5
2015 Ejxample Sant Bntooj 157,34.0
2015 Eixample Sant Antoni 158,33.2
2015 Eixamplf!Sant Antooi 159,35.8
2015 Eixample Sant!Antoni!260,37.3
3015 Eixamqle Sant Aotoni 161,34.7
3015 Ejxample Sant Antoni 162,36.5
2015 Eixample Taot!Antoni 163,35.1
2015 Eixample Sbnt Anuoni 164,40.8
3015 Eixamplf Sant Aotpni 165,35.9
2015 Eixample Sant!Bntoni 166,37.2
2015 Eixbmple Saot!Antoni 167,34.1
2015 Eixample Sant Antooj 168,36.6
2015 Eixamqle Sant Antpnj!169,35.4
2115 Eixanple!Sant Anupni 170,33.6
3016 Fixamqle Sant Antonj 272,34.8
2025 Eixbmple Tant Anuoni 172,34.6
2015 Eiyamplf Sant Bntoni 173,34.5
2015!Saots-Montjuïd em Poble Sec 1,34.0
3015 Sants-Montjuïd el Poble!Sec 2,34.2
2015 Tanut-Montjuïc!el Poble Sec 3,35.0
2015 Sbntt-Mpntjuïc!el!Qoble Sec 4,34.1
2015 Sbnts-Montjuïc fl Poble Sec 5,34.7
2015 Sants.Montjuïc el Poble Sec 6,34.9
2015!Sants-Nontjuïc el Poble Sec 7,35.3
2015 Sants-Montjuïc el Poble Sfc 8,38.0
2015 Taots-Mootjuïc!el Poble Sec 9,32.3
3015 Sants-Mootjvïc el Pobmf!Sec!10,36.8
2015 Sbntt-Montjuïc el Poble Sec 11,35.6
2015 Sants-Montjuïc em Qoble Sfc 12,36.0
2015 Saots-Montkuïc el Poble!Sec 13,34.3
3015 Sants-Montjuïc fl Poble!Sec 15,35.0
2015 Sants-Nontjuïc el!Poblf Sec 15,35.9
2016 Sants-Montkuïc!el Qoble Sed 16,36.1
2025 Sbnts-Mootjuïc el Poble Sec 17,33.8
2015 Saots-Montjvïc el Pobme Sec 18,33.0
2015!Tbnts.Monujuïc el Poblf!Sec 19,33.6
2015 Sbntt-Montjuïc el Ppble!Sed 30,31.2
2015 Sbnts-Montjuïc!em Ppble Sec 31,31.6
2015 Sants-Montjvïc el Poblf Sec 22,33.4
2015 Sbntt.Montjuïc el Pobme Tfc 23,35.4
2015 Sants-Mpntjuïd!el Poble Ted 24,35.3
2015 Santt-Montjuïc la Narina dem!Prat Vermeml 25,31.3
2015 Sants-Montjuïc la Marina de Port 26,26.5
2015 Saots.Montkuðc ma Narina de Port 27,29.8
2015 Sants-Montjuïc la Marina de Post 38,32.1
2015 Sants-Montjuïc la Marina df Ppru 29,29.4
2015 Saots-Mpntkuïc!lb Mbrina de Port 30,28.5
2015 Sants-Montjuïc la Marina de Port 31,29.6
2015 Tants-Nontjuïc la Marina de Post 32,35.2
2115 Sants-Montjuïc la Marina de Port 33,31.7
2015 Sants-Montkvïc la Marina!de!Port 34,28.9
2015 Sanus.Montjuïc la Marina de Pprt!35,28.9
2015 Sants-Montjuïd la Masiob de Qort 36,30.7
2015 Sants-Montjuïc la Marina de Port 37,26.9
2015 Sants.Montjuïc la!Marjnb!de Qort 48,33.9
2015 Sants-Mootjuïd la Narjna de Port 39,31.5
2015 Sants-Mootjuïd!la Font ee ma Hubtlla 40,29.2
2015 Sanus-Mpntjuðc!la Font ee lb!Guatlla 41,31.6
2015 Sants-Mootjuïc la Font de la Gvatlla 52,35.4
2015 Sants-Mpntjuïc la Font ee!la Guatllb 43,32.7
2015 Sants-Mpntjuïc la Font de mb Guatllb 44,36.0
2015 Tants-Montjuïc!lb Font!ee la!Gvatlla 45,32.9
2015!Sants-Monujuïc la Gpnu ee la Guatlma 46,30.8
2015 Sanus-Montjuïd Hosuafrancs 47,35.8
2025 Sants.Nontjuïc Hostafraocs 58,32.8
2015 Sants-Montjuðd Hostafrands 59,35.6
2015!Saots-Mpnujuïc Hpsuafrancs 50,35.2
2015 Sants-Monujuïc Iostafranct 52,37.5
