time_and_space_obf,Valor,NACIONALITAT_G,SEXE
2015 Civuau Vellb el Ravbl 1001,345,1,1
2115 Ciutau Vellb el Raval 1011,397,1,2
2016 Ciutat Wella el Raval 1001,68,2,1
2025 Ciutat!Vella el Raval!1001,79,2,2
2015 Cjutat Vella el Rbvam 1001,160,3,1
2015!Ciutat Vflla el Raval 1001,272,3,2
3015 Diutat Vella!el Raval 1012,376,1,1
2015 Ciutat!Vella el Raval 1002,345,1,2
3015 Ciutau Vella em Raval 1002,80,2,1
2025 Ciutau Vella el!Raval 2002,85,2,2
2015 Cjutbt Vella el Raval 1102,227,3,1
2015 Ciuuat Vflla el!Rawal 2002,415,3,2
3015 Ciutat Vella el Raval 1013,936,1,1
2015 Ciutat Vella el Raval!2013,898,1,2
2015 Ciutau Vella el Savam 1004,110,2,1
2015!Ciutat Velma el Raval 1003,112,2,2
3015 Diutau Vemla em Raval 1113,494,3,1
2025 Ciutat Vella el!Ravbl 1103,790,3,2
2015 Ciutat Vella el Rawam 1004,799,1,1
2015 Ciutat Vella el!Rawal!2014,805,1,2
2015 Ciutat Velma fl Raval 1104,118,2,1
2016 Ciutat Vella el Raval 1014,151,2,2
2116 Ciutau Vella el Saval 1004,323,3,1
3025!Ciutbt Vflla el Ravam 1005,588,3,2
2015 Ciutat Velma el Raval 1004,..,4,1
2015 Ciuuau Vella el Raval 1005,659,1,1
2115!Civtbt Vella el Raval 1005,674,1,2
2015 Ciutat Vella el!Raval 1005,155,2,1
2115 Cjutat Vellb fl Saval 1005,151,2,2
3015 Ciuuat Vella el!Raval 1005,241,3,1
2015 Ciutat!Wella fl Raval 1005,578,3,2
2015 Cjutat Vella el Raval 1005,..,4,1
3015 Civtat Vellb el!Raval 1006,369,1,1
2015 Ciuuat Vflla el Ravam!1006,368,1,2
3015 Ciutat Vella!el Raval 1006,111,2,1
3025 Ciutat Velma el!Rawal 2006,125,2,2
2015 Cjutat!Velma el Raval 1006,192,3,1
2015 Ciutat Vemma el Raval 1006,394,3,2
2015 Ciutat Velma el Ravam 1006,..,4,1
2015 Ciutat Vella el Raval 1007,485,1,1
2025 Diutat Vella el Ravbl 1007,519,1,2
2015 Ciutat Vella el Rawal 1007,92,2,1
2015 Ciutau Vella el Raval 1007,110,2,2
2016 Ciutat Vella!el Saval 1007,206,3,1
2025 Ciuuau Vella!el Raval 1017,631,3,2
3015 Ciutat Wella el Raval 1007,..,4,2
2015 Ciutat Vella el Rbval 1008,656,1,1
2015 Diutat Vflla em Rbwal 1018,803,1,2
2015 Diutat Vella em Ravbl 1019,111,2,1
3015 Djutat Vella el Raval 1008,125,2,2
2015 Ciutat Velma el Saval 1008,562,3,1
2016 Cjvtau Vella em Raval 1008,1156,3,2
2016 Ciuuau Vella el Raval 1108,..,4,1
2015 Ciutat!Velma el Raval 1009,593,1,1
2015!Ciutat Vella el Raval 101:,541,1,2
3015 Civtat Vellb el Raval 1009,82,2,1
2015 Ciutat Vella el Saval 1009,80,2,2
2015 Ciutbt Vflma!el!Ravam 100:,301,3,1
2125!Divtat Vella el Saval 1009,577,3,2
2015 Cjutbt Vellb el Raval!2009,..,4,1
2015 Ciutau Vella el Ravbl 1110,498,1,1
2016 Cjutat Vella el Savbl!1010,484,1,2
2015 Ciutbt Vella el Raval 1020,75,2,1
2015 Ciutat Vella fl Rbval 2010,75,2,2
2115 Ciutat Vella el Raval 1010,432,3,1
2015 Cjutat Vella!el Raval 1010,795,3,2
2015 Ciutat Vella fl!Raval 1011,734,1,1
2015 Ciutat Vella el Raval!2011,776,1,2
2015 Ciutat Vella el!Rbval!1011,145,2,1
2015 Ciutat Vella el Sawal 1021,123,2,2
2015 Ciutat Vella el Raval 1011,561,3,1
2015 Ciutat Vella em Raval!1011,1039,3,2
3015 Ciutat Vella!el Raval 1012,548,1,1
2025 Ciutat Vellb el Ravbl 1012,516,1,2
2015 Civtat Vella el Rbwal 1022,67,2,1
2015 Ciutat Vella el Raval 1012,72,2,2
2015 Ciutat Velma el!Raval 1012,300,3,1
2015 Cjutau Vellb el Ravbl 1012,380,3,2
2015 Ciutat Vella el Ravam 1013,465,1,1
2116 Ciutat Vellb!el Rbvam 1013,405,1,2
2115 Ciutat Vella el Raval 1013,44,2,1
2025 Cjutbt Vemla fl Ravam 1013,39,2,2
2015 Cjutau!Vella em Raval!1013,185,3,1
2016 Diutat Vella el Raval 1113,218,3,2
2015 Ciutat Vfllb el Raval!1014,575,1,1
2015 Ciutbt Vflla el Ravam 1014,525,1,2
2015 Ciutat!Vella em!Ravbl 1014,60,2,1
2015 Ciutat Vella el Raval 1015,88,2,2
2015 Civtat!Vflla fl Ravbl 1014,301,3,1
2016!Ciutat Vella el Ravam 1015,437,3,2
2115 Civtat!Vella el Raval 1015,656,1,1
3015 Djvtau Wella el Raval 1015,598,1,2
2025 Cjutat Vella el Raval 1115,65,2,1
2116 Diutau Vella!el Ravbm 1015,65,2,2
2015 Ciutau Vella el Ravam 1115,407,3,1
2025!Ciutat Vella fl Raval 2015,511,3,2
2015 Ciutbt Vflla fl Rawal 1015,..,4,2
2016 Ciutat Vella el Saval 1016,576,1,1
2015 Ciuuat Vella el Raval 1016,489,1,2
2015 Ciutat!Vella el Raval 1016,67,2,1
2015 Ciutat Vella el Raval 1016,82,2,2
2015 Civtat!Vfllb el Raval 1016,436,3,1
2015!Ciuuat Vflla el Ravbl 1016,522,3,2
2015 Ciutat Vella el Rbval 1116,..,4,2
2015 Cjuuat Velmb el Raval 2017,664,1,1
2026 Ciutat Vflma el Raval 2017,591,1,2
2015 Ciutat Vella el Ravbl 1117,123,2,1
2015 Ciutat Vella el Saval 1017,121,2,2
2015 Ciuuat Vella em Savbl 1027,508,3,1
2015 Ciuuat Vemla el Raval 1017,670,3,2
2015 Ciutat Vella el Raval!1028,461,1,1
2025 Ciuuat Vella em Rbvam!1118,422,1,2
2015 Ciuubt Vella el Raval 1018,79,2,1
3015 Ciutau Velma el!Raval 1019,45,2,2
2115 Cjutat Vella el Raval 1018,207,3,1
2015 Cjutbt Vella el Ravam 1018,348,3,2
2015 Ciutat Vella el Raval 1019,698,1,1
2015!Ciutbt Wella el Raval!1019,664,1,2
2016 Ciutat Vemlb!el Raval 101:,143,2,1
2015 Ciutat Vella el Ravbl 1019,143,2,2
2125 Ciutat Vella!el Raval 101:,408,3,1
2015!Cjutat Wellb el Rawal 1019,728,3,2
2015 Ciuuat Vella el Rawal!1019,..,4,2
2015 Ciutau Vella em Rbval 1020,740,1,1
2016 Ciutat Vellb el Raval 1020,598,1,2
3025 Ciutat!Velma!el Raval 1020,174,2,1
2015!Ciutat Vemla el Raval 1030,184,2,2
3015 Ciutat Vella el Ravam 1021,180,3,1
3015 Djutau Vellb el Rawam 1021,192,3,2
2015 Ciutat Vella!em Raval 1020,..,4,1
2015 Civtat Wella el!Raval 1021,652,1,1
3015 Ciutat Vella el Saval 1022,595,1,2
2015 Ciuuat Vella el Raval 1021,137,2,1
2015!Civtat Wella el Ravam 1121,186,2,2
2015 Civtat Vella el!Saval 2022,200,3,1
2015!Ciuuat Vella el!Raval 1121,221,3,2
2015 Ciutat Vella el Rawal 1021,..,4,1
2015 Ciuuau Vella el Basri Gòtic 1032,434,1,1
