Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,151,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,80,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,172,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,165,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,67,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,96,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,66,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,85,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,35,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,44,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,11,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1001,8,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,232,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,141,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,195,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,171,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,63,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,90,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,39,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,48,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,25,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,12,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,1,1002,23,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,324,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,176,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,345,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,356,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,117,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,171,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,114,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,128,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,51,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,58,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,29,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1003,26,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,292,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,154,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,298,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,333,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,123,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,138,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,95,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,123,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,49,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,39,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,31,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,2,1004,47,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,326,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,206,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,305,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,375,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,108,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,101,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,65,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,116,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,43,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,47,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,16,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1005,19,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,228,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,140,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,258,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,240,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,86,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,79,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,72,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,89,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,62,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,53,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,26,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1006,25,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,321,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,187,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,382,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,457,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,123,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,134,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,63,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,117,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,37,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,32,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,34,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,3,1007,32,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,311,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,195,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,361,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,391,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,85,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,119,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,58,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,87,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,17,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,21,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,21,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1008,31,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,226,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,135,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,237,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,236,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,116,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,112,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,78,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,97,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,30,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,36,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,18,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1009,21,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,221,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,134,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,269,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,225,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,109,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,127,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,64,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,93,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,34,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,29,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,19,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,4,1010,15,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,359,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,181,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,323,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,295,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,112,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,143,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,88,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,97,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,35,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,48,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,22,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1011,29,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,168,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,115,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,269,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,202,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,110,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,115,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,89,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,101,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,62,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,41,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,22,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1012,16,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,140,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,62,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,172,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,134,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,97,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,91,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,75,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,99,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,46,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,48,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,7,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,5,1013,16,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,226,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,101,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,191,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,165,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,101,3,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,84,3,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,65,4,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,96,4,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,34,5,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,37,5,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,22,6,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1014,16,6,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1015,236,1,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1015,106,1,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1015,257,2,1
1997-01-01,1,Ciutat Vella,1,el Raval,6,1015,205,2,2
1997-01-01,1,Ciutat Vella,1,el Raval,6,1015,121,3,1
