Data_Referencia,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,AEB,Seccio_Censal,Valor,NIV_EDUCA_esta,SEXE
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,75,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,49,1,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,159,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,238,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,75,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,140,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,97,4,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,118,4,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,108,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,128,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,16,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1001,17,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,121,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,73,1,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,170,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,259,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,103,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,162,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,100,4,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,122,4,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,123,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,107,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,21,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,1,1002,22,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,196,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,108,1,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,452,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,628,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,232,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,346,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,180,4,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,245,4,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,168,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,166,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1003,45,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,153,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,114,1,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,296,2,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,519,2,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,214,3,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,261,3,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,200,4,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,251,4,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,248,5,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,226,5,2
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,35,6,1
2008-01-01,1,Ciutat Vella,1,el Raval,2,1004,37,6,2
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,173,1,1
2008-01-01,1,Ciutat Vella,1,el Raval,3,1005,107,1,2
